gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,tenure_group,num_services,is_new_customer,CLV,avg_service_cost,high_risk_flag,churn_probability,segment,segment_names
1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,29.85,29.85,0,0,1,1,29.85,14.925,1,0.6601223785061571,1,At Risk
0,0,0,0,34,1,0,1,1,0,1,0,0,0,1,0,1,56.95,1889.5,0,2,3,0,1936.3,14.2375,0,0.08651788321428942,2,Fence Sitters
0,0,0,0,2,1,0,1,1,1,0,0,0,0,0,1,1,53.85,108.15,1,0,3,1,107.7,13.4625,1,0.6824742894990984,1,At Risk
0,0,0,0,45,0,0,1,1,0,1,1,0,0,1,0,2,42.3,1840.75,0,2,3,0,1903.5,10.575,0,0.058532888726651196,2,Fence Sitters
1,0,0,0,2,1,0,2,0,0,0,0,0,0,0,1,0,70.7,151.65,1,0,1,1,141.4,35.35,1,0.813598477992976,1,At Risk
1,0,0,0,8,1,1,2,0,0,1,0,1,1,0,1,0,99.65,820.5,1,0,4,1,797.2,19.93,1,0.9183657023975186,1,At Risk
0,0,0,1,22,1,1,2,0,1,0,0,1,0,0,1,3,89.1,1949.4,0,1,3,0,1960.2,22.275,0,0.39296669902547426,1,At Risk
1,0,0,0,10,0,0,1,1,0,0,0,0,0,0,0,1,29.75,301.9,0,0,1,1,297.5,14.875,1,0.5020086085151688,2,Fence Sitters
1,0,1,0,28,1,1,2,0,0,1,1,1,1,0,1,0,104.8,3046.05,1,2,5,0,2934.4,17.466666666666665,0,0.6699673156506791,1,At Risk
0,0,0,1,62,1,0,1,1,1,0,0,0,0,1,0,2,56.15,3487.95,0,3,3,0,3481.3,14.0375,0,0.060104888986280185,0,Champions
0,0,1,1,13,1,0,1,1,0,0,0,0,0,0,1,1,49.95,587.45,0,1,2,0,649.35,16.650000000000002,0,0.18581479569783987,2,Fence Sitters
